SEQ_ID	Species	Genus	Family	Order
TCC7a-Rbcl-1	Fragilaria vaucheriae	Fragilaria	Fragilariaceae	Fragilariales
TCC134-Rbcl-1	Ulnaria acus	Ulnaria	Fragilariaceae	Fragilariales
TCC425-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales
TCC426-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC429-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC430-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC431-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC432-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC436-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC440-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC441-Rbcl-1	Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales
TCC447-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC450-Rbcl-1	Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales
TCC461-Rbcl-1	Sellaphora seminulum	Sellaphora	Sellaphoraceae	Naviculales
TCC468-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales
TCC470-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC471-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC473-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC475-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales
TCC478-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC482-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC484-Rbcl-1	Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales
TCC487-Rbcl-1	Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales
TCC489-Rbcl-1	Nitzschia inconspicua	Nitzschia	Bacillariaceae	Bacillariales
TCC490-Rbcl-1	Navicula cryptotenella	Navicula	Naviculaceae	Naviculales
TCC493-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales
TCC500-Rbcl-1	Gomphonema parvulum	Gomphonema	Gomphonemataceae	Cymbellales
TCC507-Rbcl-1	Gomphonema clevei	Gomphonema	Gomphonemataceae	Cymbellales
TCC510-Rbcl-1	Nitzschia amphibia	Nitzschia	Bacillariaceae	Bacillariales
TCC513-Rbcl-1	Gomphonema bourbonense	Gomphonema	Gomphonemataceae	Cymbellales
TCC523-Rbcl-1	Nitzschia palea	Nitzschia	Bacillariaceae	Bacillariales
TCC525-Rbcl-1	Fistulifera saprophila	Fistulifera	Sellaphoraceae	Naviculales
TCC526-Rbcl-1	Gomphonema affine var. affine	Gomphonema	Gomphonemataceae	Cymbellales
TCC529-Rbcl-1	Sellaphora minima	Sellaphora	Sellaphoraceae	Naviculales
TCC536-Rbcl-1	Gomphonema pumilum var. pumilum	Gomphonema	Gomphonemataceae	Cymbellales
TCC540-Rbcl-1	Mayamaea permitis	Mayamaea	Sellaphoraceae	Naviculales
TCC545-Rbcl-1	Nitzschia frustulum	Nitzschia	Bacillariaceae	Bacillariales
TCC546-Rbcl-1	Fistulifera saprophila	Fistulifera	Sellaphoraceae	Naviculales
TCC550-Rbcl-1	Nitzschia frustulum	Nitzschia	Bacillariaceae	Bacillariales
TCC556-Rbcl-1	Fistulifera saprophila	Fistulifera	Sellaphoraceae	Naviculales
